Diaper time,In the diaper,Color,Texture
12/05/2021 9:06:37 PM,pee,,
12/05/2021 9:46:00 PM,pee and poo,yellow,Mushy
12/05/2021 5:34:00 PM,pee and poo,yellow,Mushy
12/05/2021 9:15:00 AM,pee,,
12/05/2021 10:27:00 PM,pee and poo,yellow,Runny
12/05/2021 12:00:00 PM,pee and poo,yellow,Mushy
12/05/2021 1:55:12 PM,pee and poo,yellow,Mushy
12/04/2021 4:38:00 PM,pee and poo,yellow,Mushy
12/04/2021 11:00:00 AM,pee,,
12/04/2021 3:55:56 PM,pee and poo,yellow,Mushy
12/04/2021 10:04:35 PM,pee and poo,yellow,Mushy
12/04/2021 12:55:00 PM,pee and poo,yellow,Mushy
12/04/2021 4:46:25 AM,pee and poo,yellow,Mushy
12/04/2021 8:40:00 PM,pee and poo,yellow,Mushy
12/04/2021 11:18:00 PM,poo,,Very runny
12/04/2021 2:05:40 AM,pee,,
12/03/2021 7:00:00 PM,pee and poo,yellow,Mushy
12/03/2021 5:26:52 AM,pee and poo,yellow,Mushy
12/03/2021 3:02:20 AM,poo,yellow,Runny
12/03/2021 7:44:00 AM,pee and poo,yellow,Runny
12/03/2021 1:05:00 PM,pee and poo,yellow,Mushy
12/03/2021 2:57:17 AM,pee,,
12/03/2021 10:15:00 AM,pee and poo,yellow,Mushy
12/03/2021 5:34:34 PM,pee and poo,yellow,Mushy
12/02/2021 1:08:00 AM,pee and poo,yellow,Runny
12/02/2021 11:46:00 AM,pee,,
12/02/2021 4:30:00 PM,pee,,
12/02/2021 8:58:07 AM,pee,,
12/02/2021 11:55:00 AM,poo,yellow,Mushy
12/02/2021 7:10:00 AM,pee and poo,yellow,Runny
12/02/2021 3:31:49 PM,pee,,
12/02/2021 11:38:00 PM,pee,,
12/02/2021 4:44:00 PM,pee and poo,yellow,Runny
12/01/2021 10:38:00 PM,pee,,
12/01/2021 2:20:00 PM,pee,,
12/01/2021 7:25:00 PM,poo,yellow,Runny
12/01/2021 9:34:05 AM,pee and poo,yellow,Mushy
12/01/2021 10:20:04 AM,pee and poo,yellow,Runny
12/01/2021 11:39:09 PM,poo,yellow,Runny
12/01/2021 5:15:00 PM,poo,yellow,Runny
12/01/2021 6:02:25 AM,pee and poo,yellow,Runny
12/01/2021 12:09:00 PM,pee,,
12/01/2021 4:16:00 PM,poo,yellow,Runny
11/30/2021 10:27:00 PM,poo,brown,Runny
11/30/2021 4:36:13 PM,pee,,
11/30/2021 1:26:00 PM,pee,,
11/30/2021 12:40:00 AM,pee and poo,brown,Mushy
11/30/2021 10:15:00 AM,pee,,
11/30/2021 3:40:10 PM,pee and poo,brown,Mushy
11/29/2021 12:41:00 AM,pee and poo,,Mushy
11/29/2021 5:11:00 PM,pee,,
11/29/2021 10:40:23 PM,poo,brown,Mushy
11/29/2021 12:30:18 PM,pee,,
11/29/2021 11:32:00 AM,pee,,
11/29/2021 7:05:00 AM,pee,,
11/29/2021 3:56:06 AM,pee,,
11/29/2021 2:15:00 PM,pee,,
11/28/2021 1:00:00 PM,pee and poo,,Mucusy
11/28/2021 6:48:39 AM,pee,,
11/28/2021 6:51:07 PM,pee and poo,black,Mushy
11/28/2021 9:15:00 AM,pee and poo,black,Mushy
11/28/2021 12:00:00 AM,poo,black,Mucusy
11/28/2021 3:36:11 AM,pee and poo,black,Mushy
11/28/2021 2:35:00 PM,pee and poo,,Mucusy
11/28/2021 9:34:52 AM,poo,black,
11/27/2021 8:30:04 PM,pee,,
11/27/2021 11:04:57 PM,poo,black,
